CMDLINE c:\users\zengg\appdata\local\programs\python\python37-32\python.exe main.py
MEM 101.175781 1591676626.4639
MEM 101.175781 1591676626.5646
MEM 101.207031 1591676626.6654
MEM 101.210938 1591676626.7661
MEM 101.257812 1591676626.8669
MEM 101.316406 1591676626.9676
MEM 101.332031 1591676627.0683
MEM 101.332031 1591676627.1691
MEM 101.390625 1591676627.2698
MEM 101.433594 1591676627.3705
MEM 101.492188 1591676627.4713
MEM 101.503906 1591676627.5720
MEM 102.562500 1591676627.6727
MEM 111.824219 1591676627.7735
MEM 111.824219 1591676627.8745
MEM 99.574219 1591676627.9752
MEM 101.234375 1591676628.0759
MEM 101.234375 1591676628.1766
MEM 101.234375 1591676628.2774
MEM 101.597656 1591676628.3781
MEM 101.597656 1591676628.4788
MEM 101.597656 1591676628.5796
MEM 101.597656 1591676628.6803
MEM 101.597656 1591676628.7810
MEM 101.597656 1591676628.8820
MEM 101.597656 1591676628.9827
MEM 101.597656 1591676629.0834
MEM 101.597656 1591676629.1842
MEM 101.656250 1591676629.2849
MEM 101.671875 1591676629.3856
MEM 101.671875 1591676629.4864
MEM 101.671875 1591676629.5871
MEM 101.671875 1591676629.6878
MEM 101.671875 1591676629.7885
MEM 101.671875 1591676629.8895
MEM 101.671875 1591676629.9903
MEM 101.671875 1591676630.0910
MEM 101.675781 1591676630.1917
MEM 101.675781 1591676630.2925
MEM 101.675781 1591676630.3932
MEM 101.675781 1591676630.4939
MEM 101.675781 1591676630.5946
MEM 101.675781 1591676630.6954
MEM 101.675781 1591676630.7961
MEM 101.675781 1591676630.8969
MEM 101.675781 1591676630.9976
MEM 101.675781 1591676631.0983
MEM 101.675781 1591676631.1991
MEM 101.675781 1591676631.2998
MEM 101.675781 1591676631.4005
MEM 101.675781 1591676631.5013
MEM 101.675781 1591676631.6020
MEM 101.675781 1591676631.7027
